Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
Indonesia,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,IDR billion,2240699.9,1642518.1,1714966,1870020.3,1979939.6
Indonesia,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,IDR billion,494646.1,359607.7,391202.9,420874.8,455248.1
Indonesia,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,IDR billion,589266.6,427937.4,469513.8,508849.4,554170.3
Indonesia,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,IDR billion,34005.9,19444.8,21017.8,22888,26611.6
Indonesia,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,IDR billion,47983.2,31596.2,35522.5,38684.9,44887.1
Indonesia,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,IDR billion,55812,69014.9,34240.3,27459.3,18689.1
Indonesia,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,IDR billion,252046.7,404316.6,629850.7,790707.2,912518.3
Japan,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,14121.7,14672.5,16756,15666.8,14382.2
Japan,Mobile Phones,Google Pixel (Alphabet Inc),Alphabet Inc,Retail Volume,000 units,178.8,210.4,247.5,450,2790
Japan,Mobile Phones,Sharp (Hon Hai Precision Industry Co Ltd),Hon Hai Precision Industry Co Ltd,Retail Volume,000 units,3574.4,3449.3,3583.9,3275.7,2653.3
Japan,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,1564,1814.3,1792.5,2171.4,1715.4
Japan,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,62,465,1116,1439.6,1382.1
Japan,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,2114.2,1797.1,2408.1,2371.5,1328
Japan,Mobile Phones,Fujitsu (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,-,-,-,-,1303.3
Japan,Mobile Phones,Kyocera (Kyocera Corp),Kyocera Corp,Retail Volume,000 units,901.6,913.3,941.7,517.9,467.2
Japan,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,536.8,445.6,457.6,297.4,142.8
Japan,Mobile Phones,Fujitsu (FCNT Ltd),FCNT Ltd,Retail Volume,000 units,-,-,1392.4,2005.1,-
Japan,Mobile Phones,Fujitsu (Fujitsu Connected Technologies Ltd),Fujitsu Connected Technologies Ltd,Retail Volume,000 units,1272.9,1476.6,-,-,-
Japan,Mobile Phones,Fujitsu (Fujitsu Ltd),Fujitsu Ltd,Retail Volume,000 units,-,-,-,-,-
Japan,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,1034.7,869.2,478,47.8,-
Japan,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,-,-,-,-,-
Japan,Mobile Phones,NEC (NEC Corp),NEC Corp,Retail Volume,000 units,-,-,-,-,-
Japan,Mobile Phones,Panasonic (Panasonic Corp),Panasonic Corp,Retail Volume,000 units,-,-,-,-,-
Japan,Mobile Phones,Sharp (Sharp Corp),Sharp Corp,Retail Volume,000 units,-,-,-,-,-
Japan,Mobile Phones,Others,Others,Retail Volume,000 units,1648.3,1868.8,2697.9,2203.6,895.4
Japan,Mobile Phones,Total,Total,Retail Volume,000 units,27009.7,27982,31871.5,30446.9,27059.6
Japan,Retail,Others,Others,Retail Value RSP excl Sales Tax,JPY billion,57215.8,54948.5,53627,54552.9,56280.3
Japan,Retail,Total,Total,Retail Value RSP excl Sales Tax,JPY billion,107572.4,107034.5,107921.2,111075.5,115350.8
Japan,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,JPY billion,54056.3,51875.3,51130.4,52134.8,53728.9
Japan,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,JPY billion,95057.4,92179.1,92235,94390.5,97611.6
Japan,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,JPY billion,32564.9,30284.4,30155.7,31030.6,32003.7
Japan,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,JPY billion,54240.2,51415.5,51647.5,53457.2,55629.9
Japan,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,JPY billion,2093.2,2242.3,1971.7,1999,2000
Japan,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,JPY billion,6511,6794.5,6644.1,6640.8,6644.2
Japan,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,JPY billion,1925.6,1871.5,1256.5,1088.7,1141.1
Japan,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,JPY billion,12515.1,14855.4,15686.2,16685.1,17739.2
Malaysia,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,3475.9,2160.7,2854.5,2590.7,2413.2
